#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,,,,2023-08-15T04:18:03Z,21,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:05Z,23,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:07Z,25,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:09Z,27,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:11Z,29,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:13Z,0,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:15Z,2,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:17Z,4,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:19Z,6,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:21Z,8,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:23Z,10,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:25Z,12,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:27Z,14,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:29Z,16,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:31Z,18,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:33Z,20,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:35Z,22,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:37Z,24,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:39Z,26,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:41Z,28,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:43Z,30,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:45Z,1,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:47Z,3,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:49Z,5,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:51Z,7,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:53Z,9,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:55Z,11,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:57Z,13,counter,boltdb_reads_total
,,,,,2023-08-15T04:18:59Z,15,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:01Z,17,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:03Z,19,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:05Z,21,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:07Z,23,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:09Z,25,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:11Z,27,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:13Z,29,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:15Z,0,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:17Z,2,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:19Z,4,counter,boltdb_reads_total
,,,,,2023-08-15T04:19:21Z,6,counter,boltdb_reads_total
